id,mountain,site,state,measure,Year,site_year,name,period,SWE,Tmax,Tmin,Tmean,TotalN,2D,3D,Arctic,Non-Arctic,Transitional,Non-Plant,Shrub
wright -T1-1994,wright ,T1,NY,point,1994,wright -1994,Wright,1983-2003,303.42,10.55093151,-2.762328767,3.89430137,4.636,0.293333334,0.706666668,0.046666667,0.205,0.646666668,0.101666667,0.458333334
wright -T2-1994,wright ,T2,NY,point,1994,wright -1994,Wright,1983-2003,303.42,10.55093151,-2.762328767,3.89430137,4.636,0.320000001,0.68,0.051666666,0.178333334,0.725000001,0.045,0.49
wright -T3-1994,wright ,T3,NY,point,1994,wright -1994,Wright,1983-2003,303.42,10.55093151,-2.762328767,3.89430137,4.636,0.339999999,0.660000001,0.051666667,0.175,0.661666667,0.111666666,0.521666667
wright -T1-2002,wright ,T1,NY,point,2002,wright -2002,Wright,1983-2003,237.67,10.70317808,-1.713506849,4.494835616,6.026,0.338333333,0.661666667,0.058333334,0.191666666,0.643333334,0.106666666,0.491666667
wright -T2-2002,wright ,T2,NY,point,2002,wright -2002,Wright,1983-2003,237.67,10.70317808,-1.713506849,4.494835616,6.026,0.305000002,0.694999999,0.045000001,0.188333333,0.666666667,0.1,0.489999999
wright -T3-2002,wright ,T3,NY,point,2002,wright -2002,Wright,1983-2003,237.67,10.70317808,-1.713506849,4.494835616,6.026,0.353333334,0.646666666,0.081666667,0.173333334,0.629999999,0.115,0.413333333
wright -T1-2007,wright ,T1,NY,point,2007,wright -2007,Wright,2004-2024,300.72,11.14216438,-2.274383562,4.433890411,4.856,0.539999998,0.46,0.109999999,0.269565217,0.468333334,0.216666666,0.333333333
wright -T2-2007,wright ,T2,NY,point,2007,wright -2007,Wright,2004-2024,300.72,11.14216438,-2.274383562,4.433890411,4.856,0.547826086,0.452173912,0.132173913,0.269565217,0.48521739,0.113043478,0.339130434
wright -T3-2007,wright ,T3,NY,point,2007,wright -2007,Wright,2004-2024,300.72,11.14216438,-2.274383562,4.433890411,4.856,0.523478259,0.476521739,0.16521739,0.227826086,0.471304347,0.093913044,0.36
wright -T2-2017,wright ,T2,NY,point,2017,wright -2017,Wright,2004-2024,228.48,10.13931507,-2.046082192,4.046616438,4.339,0.453913043,0.546086956,0.147826087,0.372173912,0.551304348,0.073043478,0.389565217
wright -T3-2017,wright ,T3,NY,point,2017,wright -2017,Wright,2004-2024,228.48,10.13931507,-2.046082192,4.046616438,4.339,0.553043478,0.44695652,0.099130435,,0.478260868,0.050434783,0.24347826
